image_index,resolution1,resolution2,similarity
0,83x110,83x110,1.0
0,83x110,128x128,0.6875
0,83x110,355x503,0.875
0,83x110,500x500,0.6875
0,83x110,1000x1000,0.6875
0,83x110,920x1300,0.875
0,128x128,83x110,0.6875
0,128x128,128x128,1.0
0,128x128,355x503,0.65625
0,128x128,500x500,1.0
0,128x128,1000x1000,1.0
0,128x128,920x1300,0.65625
0,355x503,83x110,0.875
0,355x503,128x128,0.65625
0,355x503,355x503,1.0
0,355x503,500x500,0.65625
0,355x503,1000x1000,0.65625
0,355x503,920x1300,0.96875
0,500x500,83x110,0.6875
0,500x500,128x128,1.0
0,500x500,355x503,0.65625
0,500x500,500x500,1.0
0,500x500,1000x1000,1.0
0,500x500,920x1300,0.65625
0,1000x1000,83x110,0.6875
0,1000x1000,128x128,1.0
0,1000x1000,355x503,0.65625
0,1000x1000,500x500,1.0
0,1000x1000,1000x1000,1.0
0,1000x1000,920x1300,0.65625
0,920x1300,83x110,0.875
0,920x1300,128x128,0.65625
0,920x1300,355x503,0.96875
0,920x1300,500x500,0.65625
0,920x1300,1000x1000,0.65625
0,920x1300,920x1300,1.0
1,83x110,83x110,1.0
1,83x110,128x128,0.625
1,83x110,355x503,0.90625
1,83x110,500x500,0.625
1,83x110,1000x1000,0.625
1,83x110,920x1300,0.90625
1,128x128,83x110,0.625
1,128x128,128x128,1.0
1,128x128,355x503,0.59375
1,128x128,500x500,1.0
1,128x128,1000x1000,1.0
1,128x128,920x1300,0.59375
1,355x503,83x110,0.90625
1,355x503,128x128,0.59375
1,355x503,355x503,1.0
1,355x503,500x500,0.59375
1,355x503,1000x1000,0.59375
1,355x503,920x1300,1.0
1,500x500,83x110,0.625
1,500x500,128x128,1.0
1,500x500,355x503,0.59375
1,500x500,500x500,1.0
1,500x500,1000x1000,1.0
1,500x500,920x1300,0.59375
1,1000x1000,83x110,0.625
1,1000x1000,128x128,1.0
1,1000x1000,355x503,0.59375
1,1000x1000,500x500,1.0
1,1000x1000,1000x1000,1.0
1,1000x1000,920x1300,0.59375
1,920x1300,83x110,0.90625
1,920x1300,128x128,0.59375
1,920x1300,355x503,1.0
1,920x1300,500x500,0.59375
1,920x1300,1000x1000,0.59375
1,920x1300,920x1300,1.0
2,83x110,83x110,1.0
2,83x110,128x128,0.53125
2,83x110,355x503,0.9375
2,83x110,500x500,0.53125
2,83x110,1000x1000,0.53125
2,83x110,920x1300,0.9375
2,128x128,83x110,0.53125
2,128x128,128x128,1.0
2,128x128,355x503,0.5
2,128x128,500x500,0.96875
2,128x128,1000x1000,0.96875
2,128x128,920x1300,0.5
2,355x503,83x110,0.9375
2,355x503,128x128,0.5
2,355x503,355x503,1.0
2,355x503,500x500,0.5
2,355x503,1000x1000,0.5
2,355x503,920x1300,1.0
2,500x500,83x110,0.53125
2,500x500,128x128,0.96875
2,500x500,355x503,0.5
2,500x500,500x500,1.0
2,500x500,1000x1000,1.0
2,500x500,920x1300,0.5
2,1000x1000,83x110,0.53125
2,1000x1000,128x128,0.96875
2,1000x1000,355x503,0.5
2,1000x1000,500x500,1.0
2,1000x1000,1000x1000,1.0
2,1000x1000,920x1300,0.5
2,920x1300,83x110,0.9375
2,920x1300,128x128,0.5
2,920x1300,355x503,1.0
2,920x1300,500x500,0.5
2,920x1300,1000x1000,0.5
2,920x1300,920x1300,1.0
3,83x110,83x110,1.0
3,83x110,128x128,0.5
3,83x110,355x503,0.90625
3,83x110,500x500,0.5
3,83x110,1000x1000,0.5
3,83x110,920x1300,0.875
3,128x128,83x110,0.5
3,128x128,128x128,1.0
3,128x128,355x503,0.46875
3,128x128,500x500,1.0
3,128x128,1000x1000,1.0
3,128x128,920x1300,0.46875
3,355x503,83x110,0.90625
3,355x503,128x128,0.46875
3,355x503,355x503,1.0
3,355x503,500x500,0.46875
3,355x503,1000x1000,0.46875
3,355x503,920x1300,0.96875
3,500x500,83x110,0.5
3,500x500,128x128,1.0
3,500x500,355x503,0.46875
3,500x500,500x500,1.0
