entity_id,sku,small_image
433840,PG3205-PINK,/P/G/PG3205-PINK_1.jpg
433836,PG3203-RED,/P/G/PG3203-RED_1.jpg
433832,PG2694-APRICOT,/P/G/PG2694-APRICOT_1.jpg
433826,Q15041-GREEN,/Q/1/Q15041-GREEN_1.jpg
433821,"WJ11617-9121-LIGHT BLUE",/W/J/WJ11617-9121-LIGHT_BLUE_1.jpg
433815,X8623WX-PINK,/X/8/X8623WX-PINK_1.jpg
433802,X8623WX-BLACK,/X/8/X8623WX-BLACK_1.jpg
433789,X8623WX-WHITE,/X/8/X8623WX-WHITE_1.jpg
433776,X8605-BEIGE,/X/8/X8605-BEIGE_1.jpg
433763,X8605-BLACK,/X/8/X8605-BLACK_1.jpg
433754,X8605-RED,/X/8/X8605-RED_1.jpg
433741,X8605-WHITE,/X/8/X8605-WHITE_1.jpg
433730,"WC325-RUST RED",/W/C/WC325-RUST_RED_1.jpg
433725,WC325-BLACK,/W/C/WC325-BLACK_1.jpg
433720,5310-ORANGE,/5/3/5310-ORANGE_1.jpg
433709,"5310-BLACK CONTRAST",/5/3/5310-BLACK_CONTRAST_1.jpg
433697,16002WX-COFFEE,/1/6/16002WX-COFFEE_1.jpg
433685,16002WX-BLACK,/1/6/16002WX-BLACK_1.jpg
433673,"16002WX-DARK GREEN",/1/6/16002WX-DARK_GREEN_1.jpg
433661,16002WX-WHITE,/1/6/16002WX-WHITE_1.jpg
433649,22891-WHITE,/2/2/22891-WHITE_1.jpg
433637,22891-BLACK,/2/2/22891-BLACK_1.jpg
433625,22891-RED,/2/2/22891-RED_1.jpg
433613,X8631WX-BLACK,/X/8/X8631WX-BLACK_1.jpg
433601,X8631WX-GREY,/X/8/X8631WX-GREY_1.jpg
433589,X8631WX-WHITE,/X/8/X8631WX-WHITE_1.jpg
433577,21408-1-BLUE,/2/1/21408-1-BLUE_1.jpg
433573,21408-1-BEIGE,/2/1/21408-1-BEIGE_1.jpg
433568,21408-1-BLACK,/2/1/21408-1-BLACK_1.jpg
433563,5308-1-BLACK,/5/3/5308-1-BLACK_1.jpg
433551,5308-1-WHITE,/5/3/5308-1-WHITE_1.jpg
433539,829-PINK,/8/2/829-PINK_1.jpg
433534,XN-829-BLACK,/x/n/xn-829-black_1.jpg
433529,XN-829-WHITE,/x/n/xn-829-white_1.jpg
433516,2288-PINK,/2/2/2288-PINK_1.jpg
433504,2288-COFFEE,/2/2/2288-COFFEE_1.jpg
433491,2288-WHITE,/2/2/2288-WHITE_1.jpg
433478,2288-BLACK,/2/2/2288-BLACK_1.jpg
433465,6619-RED,/6/6/6619-RED_1.jpg
433453,6619-WHITE,/6/6/6619-WHITE_1.jpg
433442,W5356-1-GREEN,/W/5/W5356-1-GREEN_1.jpg
433438,X8610-BLACK,/X/8/X8610-BLACK_1.jpg
433433,"W879-BLACK CONTRAST",/W/8/W879-BLACK_CONTRAST_1.jpg
433423,W879-WHITE,/W/8/W879-WHITE_1_1.jpg
433403,W879-BLACK,/W/8/W879-BLACK_1_1.jpg
433383,5317-1-BLACK,/5/3/5317-1-BLACK_1.jpg
433371,5317-1-ORANGE,/5/3/5317-1-ORANGE_1.jpg
433359,5317-1-RED,/5/3/5317-1-RED_1.jpg
433347,5317-1-WHITE,/5/3/5317-1-WHITE_1.jpg
433335,"837WX-BLACK CONTRAST",/8/3/837WX-BLACK_CONTRAST_1.jpg
433319,837WX-WHITE,/8/3/837WX-WHITE_1.jpg
433304,837WX-BLACK,/8/3/837WX-BLACK_1.jpg
433289,W878-BLACK,/W/8/W878-BLACK_1.jpg
433280,W878-WHITE,/W/8/W878-WHITE_1.jpg
433271,"W878-BLACK FLORAL",/W/8/W878-BLACK_FLORAL_1.jpg
433262,Q25053-PINK,/Q/2/Q25053-PINK_1.jpg
433258,Q25053-PURPLE,/Q/2/Q25053-PURPLE_1.jpg
433254,Q25053-BEIGE,/Q/2/Q25053-BEIGE_1.jpg
433250,Q15042-PINK,/Q/1/Q15042-PINK_1.jpg
433245,Q15042-BLACK,/Q/1/Q15042-BLACK_1.jpg
433240,Q33042-WHITE,/Q/3/Q33042-WHITE_1.jpg
433236,Q33042-PINK,/Q/3/Q33042-PINK_1.jpg
433232,Q33042-BLACK,/Q/3/Q33042-BLACK_1.jpg
433228,Q03220-PINK,/Q/0/Q03220-PINK_1.jpg
433224,Q1508-PINK,/Q/1/Q1508-PINK_1.jpg
433220,Q1508-BLACK,/Q/1/Q1508-BLACK_1.jpg
